hebraeisch,bemerkungen,deutsch,lektion
יְשׁוּעַ,,"Hilfe, Rettung",19
לחם,,"Ni. kämpfen, bekämpfen",19
אֹיֵב,,Feind,19
שׁמר,,"behüten, bewahren, halten, beobachten",19
אוֹת,,"Zeichen, Signal",19
נוּס,,fliehen,20
רדף,,"verfolgen, nachjagen",20
מַעֲשֶׂה,,"Werk, Tätigkeit, Tat",21
פעל,,"machen, tun, handeln",21
עשׂה,,"machen, tun",21
בנה,,bauen,21
אֶבֶן,,Stein,21
ידע,,"erkennen, kennen",22
סֵפֶר,,Buch,22
חכם,,weise sein,22
חָכָם,,weise,22
חָכְמָה,,Weisheit,22
למד,,lernen,22
ענה,,"I. antworten, erhören
 II. Q. niedergedrückt sein, leiden
  Pi. bedrücken, demütigen
 III. singen",22
אֱמוּנָה,,"Zuverlässigkeit, Vertrauen",22
אֱמֶת,,"Treue, Festigkeit",22
קוה,,"Pi. hoffen, warten",22
בטח,,"vertrauen, Vertrauen haben",22
קרא,,rufen; lesen,22
כתב,,schreiben,22
מַלְאָךְ,,"Bote, Engel",22
שׁלח,,"schicken, senden",22
זכר,,"gedenken, sich erinnern",22
שׁכח,,vergessen,22
יִרְאָה,,Furcht,23
יָרֵא,,fürchten,23
שׂמח,,"sich freuen, froh sein",23
שִׂמְחָה,,Freude,23
חָפֵץ,,"Gefallen haben, gern haben, sich vergnügen",23
רחם,,Pi. sich erbarmen,23
חֵן,,"Gunst, Gnade",23
חנן,,"gnädig sein, eine Gnade gewähren",23
שׁאל,,"fragen, bitten",23
יׇשָׁר,,"gerade, richtig, redlich",24
צדק,,"im Recht sein, gerecht sein",24
צַדִּיק,,gerecht,24
צֶדֶק/צְדָקָה,,Gerechtigkeit,24
חֶסֶד,,"Güte, Treue, Gnade, Mitleid",24
חטא,,"sich verfehlen, sündigen",24
חֵטְא/חַטָּאת,,"Verfehlung, Sünde¸ Opfer für Sünde",24
עָוֹן,,"Sünde, Schuld",24
פשׁע,,"sich auflehnen, sich vergehen",24
פֶּשַׁע,,"Auflehnung, Sünde",24
שָׂנֵא,,hassen,25
חֵמָה,,"Erregung, Zorn, Wut",25
רשׁע,,"ungerecht sein, freveln, böse sein",25
רָשָׁע,,"frevelhaft, gottlos, böse",25
רעע,,"böse sein, schlecht sein",25
רַע,,"schlecht, böse",25
רָעָה,,"Unheil, Böses, Bosheit",25
