hebraeisch,bemerkungen,deutsch,lektion
שׁמד,Hi.,"ausrotten, vertilgen",21
שׁמד,Ni.,verheert sein,21
יתר,Ni.,übrig bleiben,21
יתר,Hi.,"übrig lassen, verschonen",21
נוּס,Q.,fliehen,21
מלט,Ni.,"sich retten, entkommen",21
מלט,Pi.,retten,21
רדף,Q.,"verfolgen, nachjagen",21
עֲבֹדָה,,"Dienst, Arbeit",22
מְלָאכָה,,"Sendung, Arbeit, Aufgabe, Erledigung",22
מַעֲשֶׂה,,"Werk, Tätigkeit, Tat",22
פעל,Q.,"machen, tun, handeln",22
עשׂה,Q.,"machen, tun",22
פקד,Q.,"sich kümmern um, heimsuchen, überwachen",22
מַשָּׂא,,Last; Ausspruch,22
נתץ,Q.,"einreißen, zerstören",22
נכה,Hi.,schlagen,22
בנה,Q.,bauen,22
אֶבֶן,,Stein,22
נְחֹשֶׁת,,"Kupfer, Bronze",22
יצק,Q.,"ausgießen, schmelzen",22
יצר,Q.,"formen, bilden",22
ידע,Q.,"erkennen, kennen",23
סֵפֶר,,Buch,23
חכם,Q.,weise sein,23
חָכָם,,weise,23
חָכְמָה,,Weisheit,23
יעץ,Q.,"raten, beraten",23
למד,Q.,lernen,23
ענה,Q.,"I. antworten, erhören; II. niedergedrückt sein, leiden; III. singen",23
ענה,Pi.,"bedrücken, demütigen",23
אֱמוּנָה,,"Zuverlässigkeit, Vertrauen",23
אֱמֶת,,"Treue, Festigkeit",23
קוה,Pi.,"hoffen, warten",23
בטח,Q.,"vertrauen, Vertrauen haben",23
קרא,Q.,rufen; lesen,23
מָשָׁל,,"Spruch, Sprichwort",23
כתב,Q.,schreiben,23
מַלְאָךְ,,"Bote, Engel",23
שׁלח,Q.,"schicken, senden",23
נגד,Hi.,"kundtun, mitteilen, erklären",23
זכר,Q.,"gedenken, sich erinnern",23
שׁכח,Q.,vergessen,23
חלם,Q.,träumen,23
חֲלוֹם,,Traum,23
בכה,Q.,weinen,24
יִרְאָה,,Furcht,24
יָרֵא,,fürchten,24
נסה,Pi.,"auf die Probe stellen, versuchen",24
שׂמח,Q.,"sich freuen, froh sein",24
שִׂמְחָה,,Freude,24
חָפֵץ,,"Gefallen haben, gern haben, sich vergnügen",24
אבה,,"willig sein, wollen (meist negiert gebraucht);
 annehmen",24
רחם,Pi.,sich erbarmen,24
ידה,Hi.,"preisen, danken, loben",24
חֵן,,"Gunst, Gnade",24
חנן,Q.,"gnädig sein, eine Gnade gewähren",24
שׁאל,Q.,"fragen, bitten",24
ישָׁר,,"gerade, richtig, redlich",25
צדק,,"im Recht sein, gerecht sein",25
צַדִּיק,,gerecht,25
צֶדֶק/צְדָקָה,,Gerechtigkeit,25
שׂכל,Hi.,"Erfolg haben, klug sein",25
תמם,,"vollständig sein, tadellos sein",25
תָּמִים,,"vollständig, untadelig",25
כּוּן,Ni.,"fest stehen, Bestand haben",25
כּוּן,Hi.,bereitstellen,25
חֶסֶד,,"Güte, Treue, Gnade, Mitleid",25
תעב,Pi.,verabscheuen,25
סוּר,Q.,"(ab)weichen, sich wegwenden",25
סוּר,Hi.,entfernen,25
חטא,Q.,"sich verfehlen, sündigen",25
חֵטְא/חַטָּאת,,"Verfehlung, Sünde¸ Opfer für Sünde",25
עָוֹן,,"Sünde, Schuld",25
פשׁע,Q.,"sich auflehnen, sich vergehen",25
פֶּשַׁע,,"Auflehnung, Sünde",25
תּוֹעֵבָה,,Gräuel,25
נאף,Q.,ehebrechen,25
זנה,Q.,"untreu sein, Hurerei treiben, Unzucht begehen",25
שָׂנֵא,Q.,hassen,26
ריב,Q.,Rechtsstreit führen,26
רִיב,,"Rechtsstreit, Streit",26
ארר,Q.,verfluchen,26
ארר,Pi.,verfluchen,26
חֵמָה,,"Erregung, Zorn, Wut",26
מאס,Q.,"ablehnen, verwerfen, zurückstoßen",26
רשׁע,Q.,"ungerecht sein, freveln, böse sein",26
רָשָׁע,,"frevelhaft, gottlos, böse",26
רעע,Q.,"böse sein, schlecht sein",26
רַע,,"schlecht, böse",26
רָעָה,,"Unheil, Böses, Bosheit",26
שֶׁקֶר,,"Lüge, Treuebruch, Falschheit",26
